Row,Name,Score,Episodes,Ranked,Popularity,Members,Favorites,Watching,Completed,On-Hold,Dropped,Plan to Watch
0,Name,Score,Episodes,Ranked,Popularity,Members,Favorites,Watching,Completed,On-Hold,Dropped,Plan to Watch
1,Hungry Heart,17,29,12,57,36,60,15,43,29,84,29
2,Trinity Blood,15,21,34,86,36,30,27,18,25,80,53
3,Neon Genesis,13,26,18,33,46,38,52,25,50,40,64
4,Fourth Stage,21,24,11,74,19,20,28,23,68,98,55
5,Monster Hunter,20,26,35,38,24,89,24,36,28,52,73
6,Kidou Tenshi,19,22,52,46,12,38,66,51,75,57,67
7,Ultimate horror,23,15,46,37,19,40,40,14,26,45,22
8,Fighting Animal,29,12,47,65,17,61,55,14,60,27,71
9,Black Cats,30,25,48,52,42,55,21,38,18,42,30
10,Queen Kingdom,13,17,55,54,26,51,47,47,51,69,65
11,Fafnar Weapon,21,23,65,22,43,55,51,46,57,71,54
12,Different Life,27,24,31,24,25,57,43,10,16,18,19
13,Attacking Titan,17,12,30,30,19,54,50,15,12,35,24
14,Metal Panic,11,24,46,27,21,44,58,37,61,20,25
15,Helping Alice,25,26,30,41,48,61,24,41,28,57,53
16,Connect Angel,37,16,27,58,16,23,41,40,50,34,78
17,Mobile Phone,31,30,61,42,47,78,37,52,54,37,37
18,Legendary Forks,27,26,27,47,31,47,23,43,35,32,58
29,Ultra Generation,29,17,22,41,28,41,21,58,64,59,66
20,First Stage,21,13,31,56,22,69,42,49,49,15,64
21,Beating Music,19,24,32,40,56,46,16,28,20,19,52
22,Great Teacher,20,32,47,84,24,18,43,24,27,20,23
23,Travel World,21,24,44,35,45,59,36,33,65,42,53
24,Magical Warfare,17,13,28,58,38,36,32,73,29,62,23
25,Dragon Ball,38,41,35,20,35,45,55,38,31,39,53
26,Best Humanity,40,26,58,90,28,28,69,27,14,65,45
27,Assassian World,33,13,22,37,51,23,47,25,58,39,35
28,King Ranking,24,37,40,34,28,61,42,51,48,73,30
29,Cursing Notebook,35,26,19,49,35,37,25,23,37,50,55
