First,Second,Third
Lemon Head, Lemon Head, Lemon Head 
Berry Chews, Berry Chews, Berry Chews
Boston Beans, Boston Beans, Boston Beans
Air Heads, Air Heads, Air Heads
Laffy Taffy, Laffy Taffy, Laffy Taffy
Baby Ruth, Baby Ruth, Baby Ruth
One Dime, One Dime, One Dime
Milk Duds, Milk Duds, Milk Duds
Red Vines, Red Vines, Red Vines
Gold Bears, Gold Bears, Gold Bears
Root Barrels, Root Barrels, Root Barrels
Pop Rocks, Pop Rocks, Pop Rocks
Now Later, Now Later, Now Later
Caramel Apple, Caramel Apple, Caramel Apple
Cheese Bears, Cheese Bears, Cheese Bears
Junior Mints, Junior Mints, Junior Mints
Jaw Busters, Jaw Busters, Jaw Busters
Crunch Time, Crunch Time, Crunch Time
Reese Pieces, Reese Pieces, Reese Pieces
Fruit Chews, Fruit Chews, Fruit Chews
Quarter World, Quarter World, Quarter World
Life Savers, Life Savers, Life Savers
Good Bar, Good Bar, Good Bar
Fun Dips, Fun Dips, Fun Dips
Hersheys Kisses, Hersheys Kisses, Hersheys Kisses
Haribo Cola, Haribo Cola, Haribo Cola
Rolo Chiclets, Rolo Chiclets, Rolo Chiclets
Gob Stopper, Gob Stopper, Gob Stopper
Pixie Sticks, Pixie Sticks, Pixie Sticks
