First,Second,Third
Fruit Fibre,Fruit Fibre,Fruit Fibre
Quaker Squares,Quaker Squares,Quaker Squares
Natural Bran,Natural Bran,Natural Bran
Puffed Rice,Puffed Rice,Puffed Rice
Lucky Charms,Lucky Charms,Lucky Charms
Colorful Bran,Colorful Bran,Colorful Bran
Raisin Bran,Raisin Bran,Raisin Bran
Frosted Flakes,Frosted Flakes,Frosted Flakes
Apple Jacks,Apple Jacks,Apple Jacks
Honey Nut,Honey Nut,Honey Nut
Mini Wheats,Mini Wheats,Mini Wheats
Wonderful Chex,Wonderful Chex,Wonderful Chex
Almond Delight,Almond Delight,Almond Delight
Grape Flakes,Grape Flakes,Grape Flakes
Corn Favorite,Corn Favorite,Corn Favorite
Froot Loops,Froot Loops,Froot Loops
Almond Raisin,Almond Raisin,Almond Raisin
Fruity Pebbles,Fruity Pebbles,Fruity Pebbles
Cap Crunch,Cap Crunch,Cap Crunch
Post Nat,Post Nat,Post Nat
Smile Maker,Smile Maker,Smile Maker
Wheat Cream,Wheat Cream,Wheat Cream
Sweet Combo,Sweet Combo,Sweet Combo
Count Chocula,Count Chocula,Count Chocula
Golden Crisp,Golden Crisp,Golden Crisp
Oatmeal Crisp,Oatmeal Crisp,Oatmeal Crisp
Cinnamon Toast,Cinnamon Toast,Cinnamon Toast
Bran Chex,Bran Chex,Bran Chex
Double Chex,Double Chex,Double Chex
