Timestamp,X,Y
2024-04-02 14:37:15.814782,2397,827
2024-04-02 14:37:15.939541,2397,827
2024-04-02 14:37:16.051286,2397,827
2024-04-02 14:37:16.164524,2397,827
2024-04-02 14:37:16.273937,2397,827
2024-04-02 14:37:16.385760,2924,764
2024-04-02 14:37:16.498887,6279,1187
2024-04-02 14:37:16.608047,7332,1353
2024-04-02 14:37:16.721520,7785,1398
2024-04-02 14:37:16.834686,7779,1332
2024-04-02 14:37:16.950585,7656,1172
2024-04-02 14:37:17.055548,6796,734
2024-04-02 14:37:17.169025,6624,604
2024-04-02 14:37:17.282188,6249,482
2024-04-02 14:37:17.393628,5990,453
2024-04-02 14:37:17.506767,5893,488
2024-04-02 14:37:17.618077,5823,566
2024-04-02 14:37:17.731390,5815,682
2024-04-02 14:37:17.844319,5818,729
