Task,table path,table,task ID,type of task,repetation,Condition,Order,C_answer,Participant ID,c_answer_row,c_answer_col,end,text,ans_value,mouse_file
"When you are done reading these instructions, you will see a data table. Please carefully look at the table and explore it. 

Filter Task:  count how many values are over a given number: for instance: ",Experiment Data\new_tables\DataSet1_anime_color.png,Experiment Data\candy.csv,ca-9,Value Threshold Analysis,1,bar,b-c-z-p,0,1,1,#1,TRUE,"You have finished one condition for the task.

",0,1
"When you are done reading these instructions, you will see a data table. Please carefully look at the table and explore it. 

Calcuate Derived Value: estimations of the average value in a column",Experiment Data\new_tables\DataSet5_cereal_zebra.png,Experiment Data\cereal.csv,ce-9,Value Threshold Analysis,1,color,b-c-z-p,0,1,1,#1,TRUE,"You have finished one condition for the task.
",0,2
"When you are done reading these instructions, you will see a data table. Please carefully look at the table and explore it. 

Retrieve Value: ",Experiment Data\new_tables\DataSet9_candy_plain.png,Experiment Data\anime.csv,a-9,Value Threshold Analysis,1,zebra,b-c-z-p,0,1,1,#1,TRUE,"You have finished one condition for the task.
",0,3
"When you are done reading these instructions, you will see a data table. Please carefully look at the table and explore it. 

Correlation Task: Find postive correations",Experiment Data\new_tables\DataSet13_movie_bar.png,Experiment Data\movie.csv,m-9,Value Threshold Analysis,1,plain,b-c-z-p,0,1,1,#1,TRUE,"Ready to start the Experiment? Let's do this!!
",0,4
"In the Watching column, count how many entries exceed the value of 80 

Press space as soon as you have found the answer and say the number out loud.  ",Experiment Data\new_tables\DataSet1_anime_color.png,Experiment Data\candy.csv,ca-1-1,Value Threshold Analysis,1,bar,b-c-z-p,7,1,20,#1,,,64,5
"In the Popularity column, count how many entries exceed the value of 70 

Press space as soon as you have found the answer and say the number out loud.",Experiment Data\new_tables\DataSet2_anime_color.png,Experiment Data\candy.csv,ca-2-1,Value Threshold Analysis,2,bar,b-c-z-p,6,1,11,#1,,,63,6
"In the Watching column, count how many entries exceed the value of 88 

Press space as soon as you have found the answer and say the number out loud. ",Experiment Data\new_tables\DataSet3_anime_color.png,Experiment Data\candy.csv,ca-3-1,Value Threshold Analysis,3,bar,b-c-z-p,5,1,17,#1,,,96,7
"In the Members column, count how many entries exceed the value of 43

Press space as soon as you have found the answer and say the number out loud. ",Experiment Data\new_tables\DataSet4_anime_color.png,Experiment Data\candy.csv,ca-4-1,Value Threshold Analysis,4,bar,b-c-z-p,8,1,10,#1,TRUE,"You have finished one condition for the task.
",45,8
"In the Sodium column, count how many entries exceed the value of 57  

Press space as soon as you have found the answer, and say the number out loud.  ",Experiment Data\new_tables\DataSet5_cereal_zebra.png,Experiment Data\cereal.csv,ce-1-1,Value Threshold Analysis,1,color,b-c-z-p,8,1,8,#1,,,80,9
"In the Score column, count how many entries exceed the value of 70 

Press space as soon as you have found the answer, and say the number out loud.",Experiment Data\new_tables\DataSet6_cereal_zebra.png,Experiment Data\cereal.csv,ce-2-1,Value Threshold Analysis,2,color,b-c-z-p,5,1,29,#1,,,52,10
"In the Carbo column, count how many entries exceed the value of 45 

Press space as soon as you have found the answer, and say the number out loud. ",Experiment Data\new_tables\DataSet7_cereal_zebra.png,Experiment Data\cereal.csv,ce-3-1,Value Threshold Analysis,3,color,b-c-z-p,6,1,8,#1,,,66,11
"In the Sodium column, count how many entries exceed the value of 60  

Press space as soon as you have found the answer, and say the number out loud. ",Experiment Data\new_tables\DataSet8_cereal_zebra.png,Experiment Data\cereal.csv,ce-4-1,Value Threshold Analysis,4,color,b-c-z-p,7,1,12,#1,TRUE,"You have finished one condition for the task.
",59,12
"In the Fruity column, count how many entries exceed the value of 66  

Press space as soon as you have found the answer, and say the number out loud.",Experiment Data\new_tables\DataSet9_candy_plain.png,Experiment Data\anime.csv,a-1-1,Value Threshold Analysis,1,zebra,b-c-z-p,5,1,25,#1,,,73,13
"In the Rating column, count how many entries exceed the value of 38  

Press space as soon as you have found the answer, and say the number out loud.",Experiment Data\new_tables\DataSet10_candy_plain.png,Experiment Data\anime.csv,a-2-1,Value Threshold Analysis,2,zebra,b-c-z-p,8,1,6,#1,,,89,14
"In the Pluribus column, count how many entries exceed the value of 50 

Press space as soon as you have found the answer, and say the number out loud. ",Experiment Data\new_tables\DataSet11_candy_plain.png,Experiment Data\anime.csv,a-3-1,Value Threshold Analysis,3,zebra,b-c-z-p,7,1,5,#1,,,98,15
"In the Nougat column, count how many entries exceed the value of 57 

Press space as soon as you have found the answer, and say the number out loud. ",Experiment Data\new_tables\DataSet12_candy_plain.png,Experiment Data\anime.csv,a-4-1,Value Threshold Analysis,4,zebra,b-c-z-p,6,1,27,#1,TRUE,"You have finished one condition for the task.
",69,16
"In the Fandango column, count how many entries exceed the value of 70 

Press space as soon as you have found the answer, and say the number out loud.",Experiment Data\new_tables\DataSet13_movie_bar.png,Experiment Data\movie.csv,m-1-1,Value Threshold Analysis,7,plain,b-c-z-p,5,1,12,#1,,,55,17
"In the Hulu column, count how many entries exceed the value of 76 

Press space as soon as you have found the answer, and say the number out loud.  ",Experiment Data\new_tables\DataSet14_movie_bar.png,Experiment Data\movie.csv,m-2-1,Value Threshold Analysis,6,plain,b-c-z-p,8,1,21,#1,,,65,18
"In the PluggedIn column, count how many entries exceed the value of 54 

Press space as soon as you have found the answer, and say the number out loud.",Experiment Data\new_tables\DataSet15_movie_bar.png,Experiment Data\movie.csv,m-3-1,Value Threshold Analysis,7,plain,b-c-z-p,7,1,19,#1,,,64,19
