Task,table path,table,task ID,type of task,repetation,Condition,Order,C_answer,Participant ID,c_answer_row,c_answer_col,end,text,ans_value,mouse_file
"When you are done reading these instructions, you will see a data table. Please carefully look at the table and explore it. 

Find and state how many values are over 54 in the SugarPercentage column.",Experiment Data\candy.csv_bar.png,Experiment Data\candy.csv,ca-9,Describing,1,bar,b-c-z-p,7,1,1,#1,True,"You have finished one condition for the task.

",0,1
"When you are done reading these instructions, you will see a data table. Please carefully look at the table and explore it. 

Find and state how many values are over 37 in the Sugars column.",Experiment Data\cereal.csv_color.png,Experiment Data\cereal.csv,ce-9,Describing,1,color,b-c-z-p,8,1,1,#1,True,"You have finished one condition for the task.
",0,2
"When you are done reading these instructions, you will see a data table. Please carefully look at the table and explore it. 

Find and state how many values are over 48 in the Completed column ",Experiment Data\anime.csv_zebra.png,Experiment Data\anime.csv,a-9,Describing,1,zebra,b-c-z-p,7,1,1,#1,True,"You have finished one condition for the task.
",0,3
"When you are done reading these instructions, you will see a data table. Please carefully look at the table and explore it. 

Find and state how many values are over 70 in the IMDB column.",Experiment Data\movie.csv_plain.png,Experiment Data\movie.csv,m-9,Describing,1,plain,b-c-z-p,6,1,1,#1,True,"You have finished one type of task. 

",0,4
"Find and state how many values are over 21 in the Nougat column 

Press space as soon as you have found the answer and say the number out loud.  ",Experiment Data\candy.csv_bar.png,Experiment Data\candy.csv,ca-1-1,Value Threshold Analysis,1,bar,b-c-z-p,7,1,20,#1,,,64,5
"Find and state how many values are over 33 in the Bar column 

Press space as soon as you have found the answer and say the number out loud.",Experiment Data\candy.csv_bar.png,Experiment Data\candy.csv,ca-2-1,Value Threshold Analysis,2,bar,b-c-z-p,8,1,11,#1,,,63,6
"Find and state how many values are over 54 in the SugarPercentage column  

Press space as soon as you have found the answer and say the number out loud. ",Experiment Data\candy.csv_bar.png,Experiment Data\candy.csv,ca-3-1,Value Threshold Analysis,3,bar,b-c-z-p,7,1,17,#1,,,96,7
"Find and state how many values are over 52 in the Pluribus column

Press space as soon as you have found the answer and say the number out loud. ",Experiment Data\candy.csv_bar.png,Experiment Data\candy.csv,ca-4-1,Value Threshold Analysis,4,bar,b-c-z-p,6,1,10,#1,True,"You have finished one condition for the task.
",45,8
"Find and state how many values are over 37 in the Carbo column   

Press space as soon as you have found the answer, and say the number out loud.  ",Experiment Data\cereal.csv_color.png,Experiment Data\cereal.csv,ce-1-1,Value Threshold Analysis,1,color,b-c-z-p,8,1,8,#1,,,80,9
"Find and state how many values are over 44 in the Potassium column  

Press space as soon as you have found the answer, and say the number out loud.",Experiment Data\cereal.csv_color.png,Experiment Data\cereal.csv,ce-2-1,Value Threshold Analysis,2,color,b-c-z-p,7,1,29,#1,,,52,10
"Find and state how many values are over 43 in the Score column 

Press space as soon as you have found the answer, and say the number out loud. ",Experiment Data\cereal.csv_color.png,Experiment Data\cereal.csv,ce-3-1,Value Threshold Analysis,3,color,b-c-z-p,6,1,8,#1,,,66,11
"Find and state how many values are over 45 in the Fiber column 

Press space as soon as you have found the answer, and say the number out loud. ",Experiment Data\cereal.csv_color.png,Experiment Data\cereal.csv,ce-4-1,Value Threshold Analysis,4,color,b-c-z-p,6,1,12,#1,True,"You have finished one condition for the task.
",59,12
"Find and state how many values are over 49 in the Watching column 

Press space as soon as you have found the answer, and say the number out loud.",Experiment Data\anime.csv_zebra.png,Experiment Data\anime.csv,a-1-1,Value Threshold Analysis,1,zebra,b-c-z-p,8,1,25,#1,,,73,13
"Find and state how many values are over 43 in the Completed column 

Press space as soon as you have found the answer, and say the number out loud.",Experiment Data\anime.csv_zebra.png,Experiment Data\anime.csv,a-2-1,Value Threshold Analysis,2,zebra,b-c-z-p,8,1,6,#1,,,89,14
"Find and state how many values are over 57 in the On Hold column

Press space as soon as you have found the answer, and say the number out loud. ",Experiment Data\anime.csv_zebra.png,Experiment Data\anime.csv,a-3-1,Value Threshold Analysis,3,zebra,b-c-z-p,7,1,5,#1,,,98,15
"Find and state how many values are over 60 in the Favourites column

Press space as soon as you have found the answer, and say the number out loud. ",Experiment Data\anime.csv_zebra.png,Experiment Data\anime.csv,a-4-1,Value Threshold Analysis,4,zebra,b-c-z-p,6,1,27,#1,True,"You have finished one condition for the task.
",69,16
"Find and state how many values are over 71 in the IMDB column

Press space as soon as you have found the answer, and say the number out loud.",Experiment Data\movie.csv_plain.png,Experiment Data\movie.csv,m-1-1,Value Threshold Analysis,7,plain,b-c-z-p,Running Night,1,12,#1,,,55,17
"Find and state how many values are over 65 in the PluggedIn column 

Press space as soon as you have found the answer, and say the number out loud.  ",Experiment Data\movie.csv_plain.png,Experiment Data\movie.csv,m-2-1,Value Threshold Analysis,6,plain,b-c-z-p,Fantastic Four,1,21,#1,,,65,18
