Experiment_permutation,participant_ID,Task_Trial,Name_of_Task,Task_Type,Table_PNG,Table_Rendering,Dataset_Number,Topic,Condition,Repetition,Task,Task_Header,Task_Column,Task_Par1,Task_Prompt,Task_Expected_Answer,Task_Answer_Col_Row,Start_time,End_time,Start_time_e,End_time_e,Start_time_Prompt,Time_Spent,Recorded_Answer,IsError,IsPerfect,IsCorrect
1,A,0,anime-color-Filter-1,1,./Experiment_Data/Tables_PNG//DS1_anime_color1.png,1,1,anime,color,1,Filter,Watching,J,80,"In the 'Watching' column, count how many cells exceed the value of '80'",7,J,2024-04-09 13:10:36.513445,2024-04-09 13:10:42.030804,1712693436513.445,1712693442030.804,1712693422630.905,5517.3589999999995,7,False,True,True
1,A,1,anime-color-Filter-2,1,./Experiment_Data/Tables_PNG//DS2_anime_color2.png,2,2,anime,color,2,Filter,Popularity,I,70,"In the 'Popularity' column, count how many cells exceed the value of '70'",6,I,2024-04-09 13:11:04.083103,2024-04-09 13:11:16.056263,1712693464083.104,1712693476056.2634,1712693451928.8418,11973.16,6,False,True,True
1,A,2,anime-color-Filter-3,1,./Experiment_Data/Tables_PNG//DS3_anime_color3.png,3,3,anime,color,3,Filter,Watching,G,88,"In the 'Watching' column, count how many cells exceed the value of '88'",5,G,2024-04-09 13:11:34.576738,2024-04-09 13:11:40.386207,1712693494576.7388,1712693500386.2073,1712693488073.0486,5809.469,5,False,True,True
1,A,3,anime-color-Filter-4,1,./Experiment_Data/Tables_PNG//DS4_anime_color4.png,4,4,anime,color,4,Filter,Members,K,43,"In the 'Members' column, count how many cells exceed the value of '43'",8,K,2024-04-09 13:12:00.683286,2024-04-09 13:12:10.198461,1712693520683.286,1712693530198.462,1712693508832.6184,9515.175,8,False,True,True
1,A,4,cereal-zebra-Filter-1,1,./Experiment_Data/Tables_PNG//DS5_cereal_zebra1.png,21,5,cereal,zebra,1,Filter,Sodium,I,57,"In the 'Sodium' column, count how many cells exceed the value of '57'",8,I,2024-04-09 13:12:30.235056,2024-04-09 13:12:36.973564,1712693550235.057,1712693556973.5642,1712693541080.8665,6738.508000000001,8,False,True,True
1,A,5,cereal-zebra-Filter-2,1,./Experiment_Data/Tables_PNG//DS6_cereal_zebra2.png,22,6,cereal,zebra,2,Filter,Score,H,70,"In the 'Score' column, count how many cells exceed the value of '70'",5,H,2024-04-09 13:13:02.339099,2024-04-09 13:13:11.818567,1712693582339.0994,1712693591818.5674,1712693563736.6697,9479.468,5,False,True,True
1,A,6,cereal-zebra-Filter-3,1,./Experiment_Data/Tables_PNG//DS7_cereal_zebra3.png,23,7,cereal,zebra,3,Filter,Carbo,J,45,"In the 'Carbo' column, count how many cells exceed the value of '45'",6,J,2024-04-09 13:13:26.650883,2024-04-09 13:13:31.760003,1712693606650.8835,1712693611760.0034,1712693599912.576,5109.12,6,False,True,True
1,A,7,cereal-zebra-Filter-4,1,./Experiment_Data/Tables_PNG//DS8_cereal_zebra4.png,24,8,cereal,zebra,4,Filter,Sodium,K,60,"In the 'Sodium' column, count how many cells exceed the value of '60'",7,K,2024-04-09 13:13:49.107010,2024-04-09 13:13:57.484737,1712693629107.0103,1712693637484.7378,1712693620592.8977,8377.727,7,False,True,True
1,A,8,candy-plain-Filter-1,1,./Experiment_Data/Tables_PNG//DS9_candy_plain1.png,41,9,candy,plain,1,Filter,Fruity,K,66,"In the 'Fruity' column, count how many cells exceed the value of '66'",5,K,2024-04-09 13:14:19.947037,2024-04-09 13:14:38.725645,1712693659947.0376,1712693678725.6453,1712693646520.3457,18778.608,5,False,True,True
1,A,9,candy-plain-Filter-2,1,./Experiment_Data/Tables_PNG//DS10_candy_plain2.png,42,10,candy,plain,2,Filter,Rating,J,38,"In the 'Rating' column, count how many cells exceed the value of '38'",8,J,2024-04-09 13:15:13.394925,2024-04-09 13:15:22.307518,1712693713394.925,1712693722307.5188,1712693704736.4172,8912.592999999999,8,False,True,True
